artist,title,popularity
Alok,On & On,79
Alok,All The Lies,56
Alok,Hear Me Now,75
Alok,The Wall,65
Alok,Hear Me Now,52
Alok,Toda La Noche,45
Alok,On & On,79
Alok,The Wall,61
Alok,Tell Me Why,61
Alok,Metaphor,61
Alok,Vale Vale,56
Alok,All The Lies,71
Alok,The Wall,61
Alok,On & On,79
Alok,Favela,69
Alok,On & On,79
Alok,Tell Me Why,61
Alok,The Wall,61
Alok,Metaphor,61
Atlas Genius,Stockholm,52
Atlas Genius,When It Was Now,25
Atlas Genius,Can't Be Alone Tonight,46
Atlas Genius,Trojans,60
Au/Ra,Ghost,72
Au/Ra,Panic Room,75
Au/Ra,Ghost - The Him Remix,44
Au/Ra,Panic Room - Club Mix,46
Au/Ra,Panic Room,67
Beyoncé,Hold Up,75
Beyoncé,Halo,77
Beyoncé,Run the World (Girls),75
Beyoncé,Run the World (Girls),75
Beyoncé,Halo,66
Beyoncé,Irreplaceable,72
Beyoncé,Crazy In Love (feat. Jay-Z),69
Beyoncé,7/11,71
Beyoncé,7/11,71
Beyoncé,Jealous,55
Beyoncé,Single Ladies (Put a Ring on It),69
Beyoncé,Crazy In Love (feat. Jay-Z),75
Beyoncé,ALREADY,69
Beyoncé,MOOD 4 EVA (feat. Oumou Sangaré),64
Beyoncé,"Me, Myself and I",66
Beyoncé,7/11,71
Beyoncé,If I Were a Boy,68
Beyoncé,Pray You Catch Me,62
Beyoncé,Forward (feat. James Blake),56
Beyoncé,Halo,77
Beyoncé,Formation,77
Beyoncé,Hold Up,75
Beyoncé,Partition,71
Beyoncé,7/11,71
Beyoncé,"Me, Myself and I",66
Black Stone Cherry,Blame It on the Boom Boom,57
Black Stone Cherry,White Trash Millionaire,56
Black Stone Cherry,Me And Mary Jane,49
Black Stone Cherry,Rain Wizard,38
Black Stone Cherry,Be Cowboy (PBR Anthem),41
Black Stone Cherry,Can't You See,54
BUNT.,Journey Feat. Emma Carn - Radio Mix,30
BUNT.,Journey - Radio Mix,48
BUNT.,Old Guitar,49
C-Kan,La Vida Me Hizo Cabron,49
C-Kan,Santa Maria,48
C-Kan,M-E-X-I-C-O,48
C-Kan,Un Par De Balas,57
Camila Cabello,Havana,26
Camila Cabello,Cry for Me,73
Camila Cabello,Liar,87
Camila Cabello,Liar,87
Camila Cabello,Easy,78
Camila Cabello,Cry for Me,73
Camila Cabello,My Oh My (feat. DaBaby),94
Camila Cabello,Easy,73
Camila Cabello,Liar,77
Camila Cabello,Shameless,73
Camila Cabello,Cry for Me,70
Camila Cabello,Havana (feat. Young Thug),84
Camila Cabello,Havana,26
Camila Cabello,Havana (feat. Young Thug),84
Camila Cabello,Liar,87
Camila Cabello,My Oh My (feat. DaBaby),94
Camila Cabello,My Oh My (feat. DaBaby),94
Camila Cabello,Liar,87
Camila Cabello,My Oh My (feat. DaBaby),94
Camila Cabello,Liar,87
Camila Cabello,Havana - Remix,69
Camila Cabello,Liar,87
Camila Cabello,My Oh My (feat. DaBaby),94
Camila Cabello,Consequences,73
Camila Cabello,Havana (feat. Young Thug),84
Camila Cabello,My Oh My (feat. DaBaby),94
Camila Cabello,Should've Said It,74
Camila Cabello,Havana (feat. Young Thug),84
Camila Cabello,Cry for Me,73
Camila Cabello,Liar,87
Camila Cabello,Never Be the Same,66
Camila Cabello,Real Friends,63
Camila Cabello,Havana,26
Camila Cabello,My Oh My (feat. DaBaby),94
Camila Cabello,Liar,87
Camila Cabello,Shameless,76
Camila Cabello,Easy,78
Camila Cabello,Cry for Me,73
Camilo,La Difícil,78
Camilo,Tutu,88
Camilo,No Te Vayas,78
Camilo,Tutu - Remix,77
Camilo,Tutu,88
Camilo,La Difícil,78
Camilo,Tutu - Remix,77
Camilo,Tutu,88
Camilo,Tutu - Remix,77
Chris Goldarg,Spell on Me,17
Chris Goldarg,The Activist,18
Chris Goldarg,Carousel,16
Chris Goldarg,Overdue,16
Chris Goldarg,Don't Play,14
Chris Goldarg,Surrender,17
