Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;Id;Liga;Region;Phase
Mi;09.09.2015;19:45;ZSC Lions;SC Bern; 5:3; 1:0|2:3|2:0;;Ende;False;Hallenstadion AG, Zürich;9038;20161105071114;NL A;CH;Regular Season
Fr;11.09.2015;19:45;SC Bern;SCL Tigers; 7:1; 1:0|4:1|2:0;;Ende;False;PostFinance-Arena, Bern;17031;20161105071001;NL A;CH;Regular Season
Fr;11.09.2015;19:45;HC Davos;Fribourg-Gottéron; 4:5; 1:0|1:3|2:1|0:1;SO;Ende;False;Vaillant Arena, Davos;4488;20161105071002;NL A;CH;Regular Season
Fr;11.09.2015;19:45;Genève-Servette HC;HC Ambri-Piotta; 8:2; 1:2|4:0|3:0;;Ende;False;Les Vernets, Genève;5804;20161105071003;NL A;CH;Regular Season
Fr;11.09.2015;19:45;EHC Kloten;EHC Biel-Bienne; 3:7; 2:1|0:3|1:3;;Ende;False;SWISS Arena, Kloten;4152;20161105071004;NL A;CH;Regular Season
Fr;11.09.2015;19:45;HC Lugano;EV Zug; 2:5; 1:2|1:3|0:0;;Ende;False;Pista Resega, Porza;5732;20161105071005;NL A;CH;Regular Season
Fr;11.09.2015;19:45;ZSC Lions;Lausanne HC; 1:0; 0:0|0:0|1:0;;Ende;False;Hallenstadion AG, Zürich;8248;20161105071006;NL A;CH;Regular Season
Sa;12.09.2015;19:45;HC Ambri-Piotta;ZSC Lions; 3:2; 2:1|0:1|0:0|1:0;SO;Ende;False;Stadio Valascia, Ambri;5923;20161105071007;NL A;CH;Regular Season
Sa;12.09.2015;19:45;EHC Biel-Bienne;SC Bern; 4:5; 2:1|2:1|0:2;OT;Ende;False;Tissot Arena, Biel-Bienne;6521;20161105071008;NL A;CH;Regular Season
Sa;12.09.2015;19:45;Fribourg-Gottéron;EHC Kloten; 6:3; 4:1|1:1|1:1;;Ende;False;BCF Arena, Fribourg;5585;20161105071009;NL A;CH;Regular Season
