Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;TV/Online;Id;Liga;Region;Phase
Do;01.10.2020;19:45;SC Bern;HC Ambri-Piotta; 2:0; 0:0|2:0|0:0;;Ende;False;PostFinance-Arena, 3014 Bern BE;6750;MYSPORTS;20211105000037;NL;CH;Regular Season
Do;01.10.2020;19:45;Lausanne HC;SCL Tigers; 5:2; 1:0|2:1|2:1;;Ende;False;Vaudoise Aréna, 1008 Lausanne VD;4518;MYSPORTS;20211105000040;NL;CH;Regular Season
Do;01.10.2020;19:45;HC Lugano;ZSC Lions; 4:0; 2:0|1:0|1:0;;Ende;False;Cornèr Arena, 6948 Porza Ti;3426;MYSPORTS;20211105000041;NL;CH;Regular Season
Do;01.10.2020;19:50;Fribourg-Gottéron;SC Rapperswil-Jona Lakers; 2:1; 1:0|1:0|0:1;;Ende;False;BCF Arena, 1700 Fribourg FR;5160;MYSPORTS;20211105000039;NL;CH;Regular Season
Fr;02.10.2020;19:45;HC Ambri-Piotta;HC Lugano; 0:3; 0:0|0:0|0:3;;Ende;False;Stadio Valascia, 6775 Ambri TI;2755;RSI,MYSPORTS;20211105000043;NL;CH;Regular Season
Fr;02.10.2020;19:45;EHC Biel-Bienne;Lausanne HC; 6:0; 1:0|4:0|1:0;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;3777;MYSPORTS;20211105000044;NL;CH;Regular Season
Fr;02.10.2020;19:45;Genève-Servette HC;HC Davos; 5:2; 1:1|3:0|1:1;;Ende;False;Les Vernets, 1227 Les Acacias GE;4100;MYSPORTS;20211105000045;NL;CH;Regular Season
Fr;02.10.2020;19:45;SC Rapperswil-Jona Lakers;EV Zug; 2:3; 0:1|1:1|1:1;;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;2612;MYSPORTS;20211105000046;NL;CH;Regular Season
Fr;02.10.2020;19:45;ZSC Lions;Fribourg-Gottéron; 5:2; 1:1|2:0|2:1;;Ende;False;Hallenstadion, 8050 Zürich ZH;7243;SRF,RTS,MYSPORTS;20211105000048;NL;CH;Regular Season
Fr;09.10.2020;19:45;HC Ambri-Piotta;SC Rapperswil-Jona Lakers; 1:5; 1:1|0:1|0:3;;Ende;False;Stadio Valascia, 6775 Ambri TI;2287;MYSPORTS;20211105000049;NL;CH;Regular Season
Fr;09.10.2020;19:45;EHC Biel-Bienne;Fribourg-Gottéron; 4:5; 0:2|3:3|1:0;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;3777;MYSPORTS;20211105000051;NL;CH;Regular Season
Fr;09.10.2020;19:45;HC Lugano;EV Zug; 2:3; 1:2|0:0|1:1;;Ende;False;Cornèr Arena, 6948 Porza Ti;3437;MYSPORTS;20211105000053;NL;CH;Regular Season
Fr;09.10.2020;19:45;ZSC Lions;Genève-Servette HC; 4:5; 1:0|2:1|1:3|0:1;SO;Ende;False;Hallenstadion, 8050 Zürich ZH;7293;MYSPORTS;20211105000054;NL;CH;Regular Season
Fr;09.10.2020;19:47;SC Bern;Lausanne HC; 3:4; 1:0|1:4|1:0;;Ende;False;PostFinance-Arena, 3014 Bern BE;6750;MYSPORTS;20211105000050;NL;CH;Regular Season
Sa;10.10.2020;19:45;Fribourg-Gottéron;HC Lugano; 4:2; 1:0|0:1|3:1;;Ende;False;BCF Arena, 1700 Fribourg FR;5160;MYSPORTS;20211105000055;NL;CH;Regular Season
