,home_win
0,0
1,0
2,1
3,1
4,1
5,1
6,1
7,0
8,0
9,0
10,1
11,1
12,0
13,0
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,1
22,1
23,1
24,0
25,1
26,1
27,1
28,0
29,1
30,0
31,1
32,0
33,1
34,1
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,0
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,0
55,1
56,0
57,1
58,0
59,0
60,1
61,1
62,1
63,1
64,0
65,0
66,0
67,1
68,0
69,1
70,0
71,1
72,1
73,1
74,0
75,0
76,0
77,0
78,1
79,0
80,1
81,0
82,1
83,0
84,1
85,1
86,1
87,0
88,1
89,1
90,0
91,0
92,0
93,1
94,0
95,1
96,1
97,0
98,1
99,1
100,1
101,1
102,0
103,0
104,1
105,1
106,0
107,1
108,1
109,1
110,1
111,0
112,0
113,1
114,0
115,0
116,1
117,1
118,1
119,0
120,1
121,1
122,1
123,0
124,0
125,0
126,1
127,0
128,1
129,1
130,1
131,0
132,1
133,0
134,1
135,1
136,1
137,1
138,0
139,0
140,1
141,0
142,0
143,1
144,0
145,1
146,1
147,1
148,0
149,0
150,1
151,0
152,1
153,0
154,0
155,1
156,1
157,1
158,1
159,0
160,0
161,1
162,1
163,0
164,1
165,1
166,0
167,1
168,1
169,1
170,1
171,1
172,1
173,0
174,0
175,1
176,1
177,1
178,0
179,1
180,0
181,0
182,0
183,0
184,0
185,0
186,1
187,1
188,0
189,1
190,0
191,1
192,1
193,0
194,1
195,0
196,1
197,0
198,1
199,1
200,1
201,0
202,0
203,0
204,1
205,1
206,1
207,1
208,0
209,1
210,1
211,0
212,0
213,1
214,1
215,0
216,1
217,1
219,1
220,1
221,1
222,0
223,1
224,1
225,1
226,0
228,1
229,0
230,1
231,0
232,0
234,0
235,1
236,1
237,0
238,0
239,1
240,0
241,1
242,1
243,1
244,0
245,1
246,1
247,0
248,0
249,0
250,0
251,1
252,0
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
262,0
263,1
264,0
265,1
266,1
267,0
268,1
269,1
270,1
271,1
272,1
273,1
274,0
275,1
276,0
277,0
278,1
279,0
280,0
281,1
282,1
283,1
284,0
285,1
286,1
287,1
288,1
289,0
290,1
291,1
292,1
293,0
294,0
295,1
296,0
297,1
298,1
299,1
300,1
301,1
302,1
303,0
304,1
305,1
306,0
307,1
308,1
309,1
310,1
311,0
312,1
313,1
314,1
315,0
316,0
317,0
318,1
319,1
320,0
321,1
322,1
323,1
324,1
325,1
326,1
327,0
328,1
329,1
330,0
331,1
332,1
333,0
334,1
335,1
336,0
337,0
338,0
339,0
340,0
341,1
342,1
343,0
344,1
345,1
346,1
347,1
348,0
349,1
350,0
351,1
352,1
353,1
354,1
355,0
356,0
357,0
358,1
359,0
360,1
361,0
362,0
363,1
364,1
365,0
366,1
367,0
368,0
369,1
370,1
371,0
372,0
373,1
374,0
375,1
376,0
377,0
378,1
379,0
380,1
