Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;Id;Liga;Region;Phase
Do;07.09.2017;19:45;Genève-Servette HC;Lausanne HC; 3:1; 1:0|2:1|0:0;;Ende;False;Les Vernets, 1227 Les Acacias GE;6678;20181105000010;NL;CH;Regular Season
Fr;08.09.2017;19:45;HC Davos;EV Zug; 2:3; 0:1|2:1|0:0|0:1;SO;Ende;False;Vaillant Arena, 7270 Davos-Platz GR;4195;20181105000001;NL;CH;Regular Season
Fr;08.09.2017;19:45;EHC Kloten;EHC Biel-Bienne; 0:3; 0:0|0:0|0:3;;Ende;False;SWISS Arena, 8302 Kloten ZH;5334;20181105000003;NL;CH;Regular Season
Fr;08.09.2017;19:45;HC Lugano;HC Ambri-Piotta; 3:4; 0:1|1:1|2:2;;Ende;False;Piste Resega, 6948 Porza Ti;7200;20181105000005;NL;CH;Regular Season
Fr;08.09.2017;19:45;SCL Tigers;ZSC Lions; 3:4; 1:0|2:2|0:1|0:1;OT;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;5519;20181105000006;NL;CH;Regular Season
Fr;08.09.2017;19:51;Fribourg-Gottéron;Genève-Servette HC; 2:1; 1:0|1:0|0:1;;Ende;False;BCF Arena, 1700 Fribourg FR;5587;20181105000002;NL;CH;Regular Season
Sa;09.09.2017;19:45;HC Ambri-Piotta;HC Davos; 1:2; 0:1|0:0|1:1;;Ende;False;Stadio Valascia, 6775 Ambri TI;6500;20181105000007;NL;CH;Regular Season
Sa;09.09.2017;19:45;SC Bern;Fribourg-Gottéron; 6:1; 1:0|3:1|2:0;;Ende;False;PostFinance-Arena, 3014 Bern BE;17031;20181105000008;NL;CH;Regular Season
Sa;09.09.2017;19:45;EHC Biel-Bienne;SCL Tigers; 6:3; 3:2|0:1|3:0;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;5289;20181105000009;NL;CH;Regular Season
Sa;09.09.2017;19:45;ZSC Lions;EHC Kloten; 4:2; 2:0|0:1|2:1;;Ende;False;Hallenstadion, 8050 Zürich ZH;9180;20181105000011;NL;CH;Regular Season
Sa;09.09.2017;19:45;EV Zug;HC Lugano; 2:4; 1:2|1:0|0:2;;Ende;False;BOSSARD Arena, 6303 Zug;7200;20181105000012;NL;CH;Regular Season
Di;12.09.2017;19:45;SC Bern;HC Ambri-Piotta; 2:0; 0:0|1:0|1:0;;Ende;False;PostFinance-Arena, 3014 Bern BE;15456;20181105000013;NL;CH;Regular Season
Di;12.09.2017;19:45;EHC Biel-Bienne;Fribourg-Gottéron; 2:3; 0:1|1:2|1:0;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;4723;20181105000014;NL;CH;Regular Season
Di;12.09.2017;19:45;HC Davos;Genève-Servette HC; 4:1; 3:0|1:0|0:1;;Ende;False;Vaillant Arena, 7270 Davos-Platz GR;3348;20181105000015;NL;CH;Regular Season
Di;12.09.2017;19:45;HC Lugano;EHC Kloten; 3:2; 1:1|1:0|1:1;;Ende;False;Piste Resega, 6948 Porza Ti;5153;20181105000016;NL;CH;Regular Season
Di;12.09.2017;19:45;ZSC Lions;SCL Tigers; 5:3; 0:2|3:1|2:0;;Ende;False;Hallenstadion, 8050 Zürich ZH;7420;20181105000017;NL;CH;Regular Season
Di;12.09.2017;19:45;EV Zug;Lausanne HC; 5:4; 3:1|1:3|0:0|1:0;OT;Ende;False;BOSSARD Arena, 6303 Zug;6225;20181105000018;NL;CH;Regular Season
Fr;15.09.2017;19:45;Fribourg-Gottéron;HC Ambri-Piotta; 4:2; 1:2|1:0|2:0;;Ende;False;BCF Arena, 1700 Fribourg FR;5555;20181105000019;NL;CH;Regular Season
Fr;15.09.2017;19:45;Genève-Servette HC;SC Bern; 2:1; 2:1|0:0|0:0;;Ende;False;Les Vernets, 1227 Les Acacias GE;5958;20181105000020;NL;CH;Regular Season
Fr;15.09.2017;19:45;EHC Kloten;HC Davos; 2:3; 0:0|2:0|0:3;;Ende;False;SWISS Arena, 8302 Kloten ZH;5406;20181105000021;NL;CH;Regular Season
Fr;15.09.2017;19:45;Lausanne HC;EHC Biel-Bienne; 2:3; 1:0|0:2|1:0|0:1;OT;Ende;False;Centre Sportif Malley, 1008 Lausanne VD;6003;20181105000022;NL;CH;Regular Season
Fr;15.09.2017;19:45;HC Lugano;ZSC Lions; 6:1; 2:1|3:0|1:0;;Ende;False;Piste Resega, 6948 Porza Ti;5477;20181105000023;NL;CH;Regular Season
Fr;15.09.2017;19:45;SCL Tigers;EV Zug; 2:3; 0:0|1:2|1:1;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;5420;20181105000024;NL;CH;Regular Season
Sa;16.09.2017;19:45;HC Ambri-Piotta;SCL Tigers; 5:3; 2:2|2:0|1:1;;Ende;False;Stadio Valascia, 6775 Ambri TI;5482;20181105000025;NL;CH;Regular Season
Sa;16.09.2017;19:45;SC Bern;HC Lugano; 4:5; 2:0|2:1|0:3|0:1;SO;Ende;False;PostFinance-Arena, 3014 Bern BE;16499;20181105000026;NL;CH;Regular Season
Sa;16.09.2017;19:45;EHC Biel-Bienne;Genève-Servette HC; 5:4; 1:1|0:2|4:1;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;4867;20181105000027;NL;CH;Regular Season
Sa;16.09.2017;19:45;HC Davos;Lausanne HC; 4:6; 0:2|0:3|4:1;;Ende;False;Vaillant Arena, 7270 Davos-Platz GR;4078;20181105000028;NL;CH;Regular Season
Sa;16.09.2017;19:45;ZSC Lions;Fribourg-Gottéron; 1:2; 0:0|1:1|0:1;;Ende;False;Hallenstadion, 8050 Zürich ZH;8173;20181105000029;NL;CH;Regular Season
Sa;16.09.2017;19:45;EV Zug;EHC Kloten; 2:1; 1:0|1:0|0:1;;Ende;False;BOSSARD Arena, 6303 Zug;7200;20181105000030;NL;CH;Regular Season
Fr;22.09.2017;19:45;SC Bern;Lausanne HC; 4:1; 0:1|3:0|1:0;;Ende;False;PostFinance-Arena, 3014 Bern BE;15585;20181105000031;NL;CH;Regular Season
Fr;22.09.2017;19:45;Fribourg-Gottéron;EHC Kloten; 2:1; 0:1|1:0|1:0;;Ende;False;BCF Arena, 1700 Fribourg FR;5189;20181105000033;NL;CH;Regular Season
Fr;22.09.2017;19:45;SCL Tigers;Genève-Servette HC; 3:2; 0:0|1:1|1:1|1:0;OT;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;5248;20181105000035;NL;CH;Regular Season
Fr;22.09.2017;19:45;ZSC Lions;EHC Biel-Bienne; 2:4; 0:3|2:0|0:1;;Ende;False;Hallenstadion, 8050 Zürich ZH;7659;20181105000036;NL;CH;Regular Season
Sa;23.09.2017;19:45;HC Ambri-Piotta;ZSC Lions; 4:5; 2:2|1:1|1:1|0:1;OT;Ende;False;Stadio Valascia, 6775 Ambri TI;5102;20181105000037;NL;CH;Regular Season
Sa;23.09.2017;19:45;EHC Biel-Bienne;SC Bern; 2:5; 1:1|0:2|1:2;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;6307;20181105000038;NL;CH;Regular Season
Sa;23.09.2017;19:45;Genève-Servette HC;Fribourg-Gottéron; 2:4; 0:1|1:1|1:2;;Ende;False;Les Vernets, 1227 Les Acacias GE;5823;20181105000039;NL;CH;Regular Season
Sa;23.09.2017;19:45;EHC Kloten;SCL Tigers; 4:0; 2:0|2:0|0:0;;Ende;False;SWISS Arena, 8302 Kloten ZH;5012;20181105000040;NL;CH;Regular Season
Sa;23.09.2017;19:45;Lausanne HC;HC Lugano; 4:1; 1:1|1:0|2:0;;Ende;False;Centre Sportif Malley, 1008 Lausanne VD;6336;20181105000041;NL;CH;Regular Season
Sa;23.09.2017;19:45;EV Zug;HC Davos; 5:1; 1:1|2:0|2:0;;Ende;False;BOSSARD Arena, 6303 Zug;7200;20181105000042;NL;CH;Regular Season
So;24.09.2017;15:45;HC Davos;HC Ambri-Piotta; 4:2; 1:1|0:1|3:0;;Ende;False;Vaillant Arena, 7270 Davos-Platz GR;4405;20181105000032;NL;CH;Regular Season
Di;26.09.2017;19:45;HC Lugano;EV Zug; 2:3; 2:1|0:1|0:1;;Ende;False;Piste Resega, 6948 Porza Ti;5396;20181105000034;NL;CH;Regular Season
Di;26.09.2017;19:45;ZSC Lions;Lausanne HC; 6:1; 0:0|3:1|3:0;;Ende;False;Hallenstadion, 8050 Zürich ZH;7432;20181105000060;NL;CH;Regular Season
Do;28.09.2017;19:45;Genève-Servette HC;ZSC Lions; 3:2; 0:0|0:1|2:1|1:0;SO;Ende;False;Les Vernets, 1227 Les Acacias GE;5604;20181105000046;NL;CH;Regular Season
Fr;29.09.2017;19:45;HC Ambri-Piotta;HC Lugano; 1:4; 1:1|0:2|0:1;;Ende;False;Stadio Valascia, 6775 Ambri TI;6500;20181105000043;NL;CH;Regular Season
Fr;29.09.2017;19:45;Fribourg-Gottéron;EV Zug; 0:3; 0:1|0:0|0:2;;Ende;False;BCF Arena, 1700 Fribourg FR;5265;20181105000045;NL;CH;Regular Season
Fr;29.09.2017;19:45;EHC Kloten;Lausanne HC; 2:1; 0:0|0:1|2:0;;Ende;False;SWISS Arena, 8302 Kloten ZH;4531;20181105000047;NL;CH;Regular Season
