Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;TV/Online;Id;Liga;Region;Phase
Fr;21.09.2018;19:45;HC Ambri-Piotta;EV Zug; 1:2; 0:0|1:1|0:1;;Ende;False;Stadio Valascia, 6775 Ambri TI;6027;MYSPORTS;20191105000001;NL;CH;Regular Season
Fr;21.09.2018;19:45;EHC Biel-Bienne;Genève-Servette HC; 3:0; 1:0|2:0|0:0;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;5393;MYSPORTS;20191105000002;NL;CH;Regular Season
Fr;21.09.2018;19:45;Fribourg-Gottéron;Lausanne HC; 1:5; 0:0|1:2|0:3;;Ende;False;BCF Arena, 1700 Fribourg FR;6163;MYSPORTS;20191105000003;NL;CH;Regular Season
Fr;21.09.2018;19:45;HC Lugano;HC Davos; 3:1; 1:0|1:1|1:0;;Ende;False;Cornèr Arena, 6948 Porza Ti;6241;MYSPORTS;20191105000004;NL;CH;Regular Season
Fr;21.09.2018;19:45;SCL Tigers;SC Rapperswil-Jona Lakers; 5:2; 1:2|2:0|2:0;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;5623;MYSPORTS;20191105000005;NL;CH;Regular Season
Fr;21.09.2018;19:45;ZSC Lions;SC Bern; 1:2; 0:0|0:0|1:1|0:1;OT;Ende;False;Hallenstadion, 8050 Zürich ZH;11200;MYSPORTS;20191105000006;NL;CH;Regular Season
Sa;22.09.2018;19:45;SC Bern;SCL Tigers; 3:0; 2:0|0:0|1:0;;Ende;False;PostFinance-Arena, 3014 Bern BE;17031;MYSPORTS;20191105000007;NL;CH;Regular Season
Sa;22.09.2018;19:45;HC Davos;HC Ambri-Piotta; 2:5; 1:1|1:3|0:1;;Ende;False;Vaillant Arena, 7270 Davos-Platz GR;4750;MYSPORTS;20191105000008;NL;CH;Regular Season
Sa;22.09.2018;19:45;Genève-Servette HC;Fribourg-Gottéron; 3:1; 1:0|1:0|1:1;;Ende;False;Les Vernets, 1227 Les Acacias GE;6107;MYSPORTS;20191105000009;NL;CH;Regular Season
Sa;22.09.2018;19:45;SC Rapperswil-Jona Lakers;ZSC Lions; 1:2; 0:1|1:0|0:1;;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;5126;MYSPORTS;20191105000010;NL;CH;Regular Season
Sa;22.09.2018;19:45;Lausanne HC;EHC Biel-Bienne; 1:4; 1:0|0:1|0:3;;Ende;False;Centre Sportif Malley, 1008 Lausanne VD;6700;MYSPORTS;20191105000011;NL;CH;Regular Season
Sa;22.09.2018;19:45;EV Zug;HC Lugano; 6:5; 4:2|1:3|1:0;;Ende;False;BOSSARD Arena, 6303 Zug;6833;MYSPORTS;20191105000012;NL;CH;Regular Season
Di;25.09.2018;19:45;HC Ambri-Piotta;EHC Biel-Bienne; 1:5; 1:2|0:2|0:1;;Ende;False;Stadio Valascia, 6775 Ambri TI;4315;MYSPORTS;20191105000013;NL;CH;Regular Season
Di;25.09.2018;19:45;SC Bern;HC Lugano; 4:0; 1:0|1:0|2:0;;Ende;False;PostFinance-Arena, 3014 Bern BE;16025;MYSPORTS;20191105000014;NL;CH;Regular Season
Di;25.09.2018;19:45;HC Davos;SC Rapperswil-Jona Lakers; 2:0; 1:0|1:0|0:0;;Ende;False;Vaillant Arena, 7270 Davos-Platz GR;3271;MYSPORTS;20191105000015;NL;CH;Regular Season
Di;25.09.2018;19:45;Fribourg-Gottéron;EV Zug; 3:6; 1:2|0:1|2:3;;Ende;False;BCF Arena, 1700 Fribourg FR;5402;MYSPORTS;20191105000016;NL;CH;Regular Season
Di;25.09.2018;19:45;Lausanne HC;Genève-Servette HC; 4:2; 2:2|0:0|2:0;;Ende;False;Centre Sportif Malley, 1008 Lausanne VD;6333;MYSPORTS;20191105000017;NL;CH;Regular Season
Di;25.09.2018;19:45;ZSC Lions;SCL Tigers; 1:4; 0:2|0:1|1:1;;Ende;False;Hallenstadion, 8050 Zürich ZH;8203;MYSPORTS;20191105000018;NL;CH;Regular Season
Fr;28.09.2018;19:45;EHC Biel-Bienne;Fribourg-Gottéron; 2:3; 2:0|0:2|0:1;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;5710;MYSPORTS;20191105000019;NL;CH;Regular Season
Fr;28.09.2018;19:45;Genève-Servette HC;ZSC Lions; 2:1; 1:0|0:1|1:0;;Ende;False;Les Vernets, 1227 Les Acacias GE;5023;MYSPORTS;20191105000020;NL;CH;Regular Season
Fr;28.09.2018;19:45;SC Rapperswil-Jona Lakers;SC Bern; 1:5; 0:2|0:1|1:2;;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;4019;MYSPORTS;20191105000021;NL;CH;Regular Season
Fr;28.09.2018;19:45;HC Lugano;Lausanne HC; 4:3; 1:1|2:0|1:2;;Ende;False;Cornèr Arena, 6948 Porza Ti;5890;MYSPORTS;20191105000022;NL;CH;Regular Season
Fr;28.09.2018;19:45;SCL Tigers;HC Ambri-Piotta; 0:2; 0:0|0:1|0:1;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;5565;MYSPORTS;20191105000023;NL;CH;Regular Season
Fr;28.09.2018;19:45;EV Zug;HC Davos; 1:2; 1:1|0:0|0:1;;Ende;False;BOSSARD Arena, 6303 Zug;7157;MYSPORTS;20191105000024;NL;CH;Regular Season
