,EHC Biel-Bienne (away),HC Lugano (away),ZSC Lions (home),HC Ambri-Piotta (away),SC Bern (home),EV Zug (home),Genève-Servette HC (away),SC Rapperswil-Jona Lakers (home),SCL Tigers (away),HC Davos (home),Fribourg-Gottéron (home),HC Davos (away),SCL Tigers (home),Fribourg-Gottéron (away),Lausanne HC (away),HC Lugano (home),ZSC Lions (away),HC Ambri-Piotta (home),SC Bern (away),EV Zug (away),Genève-Servette HC (home),EHC Biel-Bienne (home),SC Rapperswil-Jona Lakers (away),Lausanne HC (home),HC Ajoie (home),HC Ajoie (away)
HC Ajoie,3.5,7.0,6.5,2.0,4.0,6.5,3.5,4.666666666666667,1.5,4.5,5.0,2.3333333333333335,8.5,4.5,6.0,4.5,3.3333333333333335,2.5,4.0,4.0,3.5,5.5,6.0,3.5,0.0,0.0
SC Bern,3.6666666666666665,2.0,2.0,3.5,0.0,3.5,2.3333333333333335,2.0,1.0,3.5,4.0,3.5,1.5,4.5,3.0,3.0,1.0,3.0,0.0,2.5,2.5,7.0,2.5,3.6666666666666665,1.5,0.5
Fribourg-Gottéron,2.0,2.0,4.5,1.5,1.5,3.0,1.3333333333333333,4.5,2.0,1.0,0.0,3.0,2.5,0.0,2.8,4.0,2.25,4.0,2.3333333333333335,3.5,2.5,2.5,1.5,3.0,0.5,2.0
ZSC Lions,2.5,3.0,0.0,2.0,4.0,2.6666666666666665,3.5,3.3333333333333335,2.6666666666666665,2.5,2.25,2.6666666666666665,1.5,2.5,0.5,1.5,0.0,1.0,2.0,2.6,3.0,1.6,2.0,3.5,2.6666666666666665,2.0
Genève-Servette HC,1.3333333333333333,3.0,5.5,6.5,2.3333333333333335,3.0,0.0,3.0,1.5,2.0,3.3333333333333335,1.5,2.5,2.0,2.6666666666666665,2.6666666666666665,0.5,1.5,1.0,2.0,0.0,3.5,0.5,2.5,3.5,2.5
EV Zug,2.5,1.8,1.0,2.0,3.5,0.0,4.5,4.0,2.0,1.25,5.0,1.0,0.5,2.0,2.0,2.4,2.1666666666666665,2.3333333333333335,1.5,0.0,3.5,3.5,2.5,3.5,1.5,1.5
HC Davos,1.0,1.0,3.6666666666666665,1.5,3.0,4.5,1.0,2.5,4.0,0.0,6.0,0.0,2.5,1.0,2.5,3.5,3.0,2.5,2.0,1.5,3.0,2.5,2.5,2.0,2.0,0.0
HC Lugano,4.0,0.0,5.0,1.3333333333333333,2.5,4.8,2.3333333333333335,1.5,2.5,3.0,3.0,3.5,5.0,3.0,2.5,0.0,3.5,2.0,1.5,4.4,2.3333333333333335,4.0,1.5,6.0,2.5,1.0
SC Rapperswil-Jona Lakers,3.5,3.5,4.0,3.0,3.0,1.5,1.5,0.0,3.0,3.1666666666666665,3.0,2.1666666666666665,2.0,4.5,0.5,3.0,3.3333333333333335,3.0,2.0,1.5,3.0,2.5,0.0,2.0,2.5,1.6666666666666667
Lausanne HC,2.0,6.0,3.0,1.75,2.0,1.5,1.0,6.0,3.0,3.5,3.6,4.0,3.0,2.8,0.0,3.0,2.5,2.3333333333333335,1.6666666666666667,2.0,3.0,2.0,5.0,0.0,1.5,2.0
SCL Tigers,4.5,6.0,3.3333333333333335,3.5,5.5,5.5,7.0,4.5,0.0,3.0,4.5,5.0,0.0,2.5,4.0,2.5,5.0,4.0,4.0,3.5,4.0,4.0,4.0,4.5,2.5,2.5
HC Ambri-Piotta,0.5,2.3333333333333335,3.0,0.0,2.0,4.333333333333333,4.0,3.0,3.5,3.5,1.5,2.5,0.5,1.5,3.0,4.0,2.5,0.0,2.0,4.333333333333333,4.0,3.5,2.5,3.0,2.5,1.0
EHC Biel-Bienne,0.0,1.0,2.5,1.0,2.0,3.5,1.5,3.5,3.5,5.5,2.5,1.5,1.5,3.0,2.6666666666666665,2.5,3.0,3.0,4.5,2.0,2.6666666666666665,0.0,2.0,2.5,1.0,0.5
